id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
wapi1253,wapi1254,Wapishana,language,wap,wap,2.58744,-59.8021,['South America'],"['Brazil', 'Guyana']",,Wapishanan,Wapishana-Atorai,wapi1253,Arawakan,araw1281,South America,1,Negro-Roraima,NE South America,Arawakan
pali1279,araw1281,Palikúr,language,plu,plu,3.63993,-51.6246,['South America'],"['Brazil', 'French Guiana']",,,Arawakan,pali1279,Arawakan,araw1281,South America,1,Palikur,NE South America,Arawakan
yane1238,kamp1244,Yanesha',language,ame,ame,-10.5454,-75.315,['South America'],['Peru'],,,Kampa-Amuesha,yane1238,Arawakan,araw1281,South America,1,Yanesha',Andean,Arawakan
apur1254,puru1265,Apurinã,language,apu,apu,-8.21692,-66.7714,['South America'],['Brazil'],,Purus,Purus,apur1254,Arawakan,araw1281,South America,1,Purus,NE South America,Arawakan
culi1244,madi1263,Culina,language,cul,cul,-8.55268,-70.6648,['South America'],"['Brazil', 'Peru']",,Madiha,Madiha,culi1244,Arawan,araw1282,South America,1,Arauan,NE South America,Arauan
paum1247,araw1282,Paumari,language,pad,pad,-5.78403,-64.2803,['South America'],['Brazil'],,,Arawan,paum1247,Arawan,araw1282,South America,1,Arauan,NE South America,Arauan
nava1243,west2810,Navajo,language,nav,nav,36.33,-109.38,['North America'],['United States'],,Western Southwestern Apachean,Western Southwestern Apachean,nava1243,Athabaskan-Eyak-Tlingit,atha1245,North America,1,Athapaskan,Basin and Plains,Na-Dene
west2615,west2810,Western Apache,language,apw,apw,33.8574,-110.123,['North America'],['United States'],,Western Southwestern Apachean,Western Southwestern Apachean,west2615,Athabaskan-Eyak-Tlingit,atha1245,North America,1,Athapaskan,Basin and Plains,Na-Dene
carr1249,carr1248,Central Carrier,language,crx,crx,54.3768,-124.328,['North America'],['Canada'],,Dakelh,Dakelh,carr1249,Athabaskan-Eyak-Tlingit,atha1245,North America,1,Athapaskan,Alaska-Oregon,Na-Dene
gwic1235,gwic1236,Gwich'in,language,gwi,gwi,67.4307,-142.963,['North America'],"['Canada', 'United States']",,Athabaskan,Gwichin-Han,gwic1235,Athabaskan-Eyak-Tlingit,atha1245,North America,1,Athapaskan,Alaska-Oregon,Na-Dene
beav1236,beav1237,Beaver,language,bea,bea,56.7984,-120.352,['North America'],['Canada'],,Athabaskan,Beaver-Sekani,beav1236,Athabaskan-Eyak-Tlingit,atha1245,North America,1,,,
dogr1252,hare1243,Dogrib,language,dgr,dgr,63.17,-117.25,['North America'],['Canada'],,Slaveyic,Slaveyic,dogr1252,Athabaskan-Eyak-Tlingit,atha1245,North America,1,,,
west2450,limb1267,West-Central Limba,language,lia,lia,9.52392,-12.3138,['Africa'],['Sierra Leone'],,Limba,Limba,west2450,Atlantic-Congo,atla1278,Africa,1,,,
sout2778,kiss1245,Southern Kisi,language,kss,kss,8.32448,-10.3377,['Africa'],"['Guinea', 'Liberia', 'Sierra Leone']",,Kissi,Kissi,sout2778,Atlantic-Congo,atla1278,Africa,1,Southern Mel,African Savannah,Niger-Congo
baga1272,temn1245,Baga Sitemu,language,bsp,bsp,10.4793,-14.4756,['Africa'],['Guinea'],,Northern Mel,Northern Mel,baga1272,Atlantic-Congo,atla1278,Africa,1,Northern Mel,African Savannah,Niger-Congo
timn1235,temn1245,Timne,language,tem,tem,8.90294,-12.3331,['Africa'],"['Guinea', 'Sierra Leone']",,Northern Mel,Northern Mel,timn1235,Atlantic-Congo,atla1278,Africa,1,Northern Mel,African Savannah,Niger-Congo
jola1262,fhjo1234,Jola-Esulalu,language,csk,csk,12.5089,-16.5539,['Africa'],"['Gambia', 'Guinea-Bissau', 'Senegal']",,FH-Jola,FH-Jola,jola1262,Atlantic-Congo,atla1278,Africa,1,Jola,African Savannah,Niger-Congo
kuwa1246,kwat1245,Kuwaataay,language,cwt,cwt,12.48255,-16.74835,['Africa'],['Senegal'],,Kwatay-Karon-Mlomp,Kwatay-Karon-Mlomp,kuwa1246,Atlantic-Congo,atla1278,Africa,1,,,
band1340,gusi1245,Bandial,language,bqj,bqj,12.5258,-16.4245,['Africa'],['Senegal'],,Gusilay-Bandial,Gusilay-Bandial,band1340,Atlantic-Congo,atla1278,Africa,1,,,
jola1263,jola1264,Jola-Fonyi,language,dyo,dyo,12.75752,-15.7354766667,['Africa'],"['Gambia', 'Guinea-Bissau', 'Senegal']",,Jola,Jola,jola1263,Atlantic-Congo,atla1278,Africa,1,Jola,African Savannah,Niger-Congo
mank1251,manj1250,Mankanya,language,knf,knf,12.2615066667,-15.74389,['Africa'],"['Guinea-Bissau', 'Senegal']",,Manjaku-Mankanya-Pepel,Manjaku-Mankanya-Pepel,mank1251,Atlantic-Congo,atla1278,Africa,1,Manjaku,African Savannah,Niger-Congo
